featureidx	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	urine_neg_ab	urine_neg_aw	maxint	mean1	sd1	mean2	sd2	05102016-089	05102016-092	05102016-093	05102016-100	05102016-108	05102016-109	05102016-121	05102016-126	05102016-127	05102016-131	05102016-132	05102016-139	05102016-141	05102016-143	05102016-087	05102016-088	05102016-096	05102016-101	05102016-102	05102016-104	05102016-110	05102016-111	05102016-113	05102016-118	05102016-129	05102016-130	05102016-137	05102016-147
115	M459T4	1.1032326011586	-0.141736995063605	-0.484998253184232	0.632915845842189	0.910845977801877	DOWN	459.149296786491	459.14797463343	459.151531349493	3.544049975	3.52730006	3.56971661666667	20	10	10	1436.935546875	1207.3690737782	417.766480364131	1094.39212774372	764.947918296927	1115.61051320068	882.504140871763	1334.86357444019	927.522541098295	1145.51409731852	934.635324761781	742.573567274194	1929.0444700914	707.517615794134	1839.00486304912	793.315448346508	1223.39285719818	1727.3011713284	1600.36684812162	2114.68419731363	1396.53383514465	1939.53450256096	1280.5931667605	461.796340182195	1210.05365535272	1142.64941551388	504.95157363197	536.166241379708	212.912331888761	711.073951193228	231.547135005512	2793.47513994035	785.51830254402
116	M275T0	1.06699268272466	-0.0935502824106583	-0.471844227520782	0.641048926165857	0.911877411422076	DOWN	274.957184939912	274.956093821142	274.958194892048	0.409308336666667	0.396333347333333	0.415316667	22	12	10	962.025390625	1035.07264956903	388.823295442425	970.08411241011	338.233480199639	2070.03166623617	948.027720658821	801.897211239801	1382.41035492325	1200.77890107521	699.739552743409	1011.90170158881	1327.94633755716	585.637478700961	1033.97934254645	893.863284680577	554.801779974671	870.042687584035	1109.95907445717	1161.96764004055	1293.60775400202	1275.84924702849	1297.17944858261	869.472369396906	877.053165922734	947.739514693467	1448.35424121333	854.825338043254	397.110839244793	1030.88791352896	344.778551243	1163.65952642919	618.692024372227
117	M228T2_2	1.10191832552993	-0.140017294943848	-0.459333632046081	0.650502489076774	0.913046713710425	DOWN	227.995814675019	227.995420349779	227.996764886586	2.15459999166667	2.14803331333333	2.16068341666667	8	7	1	567.955078125	488.15156290446	310.646219125062	443.00158332488	196.88653583357	996.135585976543	166.221185159534	153.963625458902	631.878284835322	373.351638447493	105.172981516714	149.362467739553	731.24118497543	226.906740845359	997.273968288582	700.019420916869	652.236821190175	591.718298183969	358.639677127991	392.341795430685	511.501119380991	251.11633895107	348.761350289663	301.266185197104	628.852101822271	414.668649725233	737.795644967208	791.569110789032	229.939632004823	595.318036587004	244.6794696592	564.895561829008	189.317169915033
118	M279T2_2	1.17370041556693	-0.231064210721034	-0.448653672565277	0.657662016754053	0.913911824859977	DOWN	279.097645434705	279.096459984715	279.098414083168	2.21982489833333	2.21136675666667	2.23961672666667	12	5	7	857.548828125	544.720419003005	535.137786085425	464.105159867299	406.975764276469	1800.03113921376	414.19277075148	151.863870847184	687.472031712909	202.227576541256	194.516750651822	144.786551079907	1029.53632121784	8.50998691472665	377.337354633404	160.465725407164	1467.57661359405	506.127889821073	481.441283655489	366.341264699317	826.147108822057	373.806907028747	355.16837307297	175.422114509863	1723.69263032806	344.398709776633	430.76657867133	429.899208602596	76.4029888048626	509.373749956722	90.0226443993888	348.105132903832	447.924826565802
119	M182T1	1.15366763810359	-0.206227655592934	-0.445670585288002	0.660544777092649	0.914255317370529	DOWN	182.044379603006	182.043742439664	182.045187566808	1.04340832166667	1.02934997	1.05286661333333	24	12	12	4030.587890625	1669.43721981895	906.904579542792	1447.06947190023	1631.82485331376	3736.74186986767	721.625319903892	1451.37315169165	1784.59470212274	2757.52713773128	949.038060675522	867.710897229073	1379.21998032036	813.044574239607	1980.3583809807	1075.36643839945	2986.73680510042	1451.72406041162	1417.05969879136	1418.45877301745	725.525003750176	1446.45982243495	1961.00849535916	965.446653911039	1295.54847372251	828.640855620713	1089.79395504669	1028.25599858736	436.047568830005	747.91680696928	413.107853234338	6931.9740424915	970.788303628055
120	M367T4	1.23398256106696	-0.303322006124292	-0.443614244272284	0.661460940599864	0.914363908676818	DOWN	367.157273966578	367.15589989656	367.158934417942	4.10473326	4.09750022333333	4.11091689666667	23	10	13	18019.109375	10030.7180455733	13223.7247576978	8128.73565806328	9082.21270895686	38883.4539472386	1140.58289214991	6643.68330012337	8347.83262465686	3245.97985347698	754.766778645407	1894.20025840249	18401.9761898736	130.308900727528	39081.4725076991	3437.83632176314	9006.2235542299	8999.17566246132	462.559846577278	1239.3526632728	15208.9569915711	1299.621086883	30446.8629587044	721.832608503174	21047.1350137433	1006.20234397993	8425.85124998274	12621.1319079396	1921.01356244046	709.449700813773	1811.10843025978	7413.87743782666	9929.90325696511
121	M389T2	1.20056858022313	-0.263717817164227	-0.441350995884061	0.66275690876037	0.914517048700882	DOWN	389.09730821397	389.096162094324	389.098146297801	2.30718323666667	2.29168325666667	2.33160000333333	17	11	6	3167.53515625	1660.90630293285	1485.01875318727	1383.43309186399	1824.34783898766	1617.22179856607	277.941834346216	849.20831706487	3526.98519993312	155.328290596358	211.316962319242	1525.2677914929	1424.95009986372	795.780395825765	763.861023194381	4873.50829102515	3042.13987716832	3511.09649177413	678.081867889615	4474.87089056099	2072.18672229424	321.669535213702	1697.84866004132	1228.64815513756	1071.79878105807	114.615829290685	6165.89468097961	1338.60027938937	61.2009116640601	139.246316949328	61.9646991440207	141.581931438486	477.935892934366
122	M331T4	1.14267303466553	0.192412648742197	0.441587798407141	0.663636986334314	0.914620732504656	UP	331.175450742785	331.173459957933	331.176603048271	4.063674965	4.06008317	4.08003315666667	14	9	5	18845.890625	8658.75206951285	4823.42543079932	9894.12250368673	9289.9796642297	8761.57522673964	5625.22855659528	12571.9854027711	7857.89644091192	6545.32079507393	874.778721108231	6058.33149680444	22085.6459911949	9955.05263130628	6498.618156904	6775.10600268259	11288.0718491463	10147.6404784504	6177.27722349099	9043.14390863023	20191.925908538	3044.21903398015	15149.7055925947	5016.38683218466	5652.08320592357	1132.80872160355	4731.43232779124	31211.5255177132	413.788691670948	14028.7805098615	417.460544069844	21536.5056693973	6947.94858765525
123	M273T0	1.05595396647682	-0.0785469428562328	-0.423096377417808	0.675719553423922	0.916019191465328	DOWN	272.956862477306	272.955902919776	272.957960887586	0.408725005	0.39001668	0.415316667	28	14	14	2857.865234375	2962.56089128063	1013.91163161542	2805.57769119915	948.320544352989	5468.29992939317	2829.96661246163	2718.01924497104	3784.57374888575	3348.24248846783	1631.9820748634	2952.82879690068	3518.90738878414	1892.76204259542	3542.56046552732	2353.07928523372	1531.7317340216	2632.27783432267	3270.62083150045	3365.35064431018	3748.20672277408	3745.61195924603	3360.30195240884	2633.71980538132	2450.2781213543	2647.60093345479	4173.07423748626	2359.0600684068	1141.57612974111	3382.61506044358	1118.76278841993	3281.28686147269	1870.64239188826
124	M330T3	1.13995445965947	0.188976190937584	0.416272927955951	0.680700592056681	0.916582459849686	UP	330.026985895498	330.025575323779	330.028014854368	2.74758334666667	2.72174995333333	2.77778336	18	10	8	2961.27734375	1261.85225175881	1036.3014717314	1438.4541018238	1202.43785073801	4377.64966146503	457.138597775856	1219.72891339046	1334.29354230693	1552.55651254961	353.258504370673	586.491522526112	1507.45235293426	197.032468840811	808.627246165886	1478.88437707673	1332.69116438123	1853.88646781665	606.240193023126	3924.49408921026	814.170905143018	860.155111483552	1562.99879029782	732.186034429928	776.707837545653	730.303063790052	4088.90008292206	2341.70988768662	966.955547667216	308.046242638518	878.933218011769	1587.16833154678	565.628283160001
125	M241T3	1.15860652906057	0.212390700121297	0.405958428927062	0.688735689302635	0.917475334155551	UP	241.117551206114	241.116776895302	241.118880701593	3.27511665333333	3.0892667	3.28434992	22	9	10	7565.1875	2624.71315432458	2028.90751823889	3041.00979751163	3256.63429975071	7812.26002817137	628.841936779525	909.844141445146	2196.42386509655	1263.54659170841	319.906118717532	3630.83378088047	3527.81911829568	442.008344074711	3090.89602684718	4175.07295435345	2028.98887136327	2442.63895161186	4276.9034311989	1040.06864476907	2644.75920139326	622.141168829025	2492.65052665093	1953.11191103014	2010.56811282384	1409.2595751725	958.174106965727	2686.68079710639	614.1592420323	11763.322388175	627.704310406291	6173.47270759684	7578.06447221143
126	M213T4	1.07062386638613	0.0984517187342876	0.359739022768133	0.722216263759458	0.920998787048183	UP	213.111641462709	213.110693913795	213.111997096108	3.801658375	3.79558337666667	3.82238324666667	10	7	3	2210.9296875	959.608605939938	415.562876191351	1027.37987590882	569.367285176266	1008.90364788715	699.873235731008	518.194874869452	1269.89946746488	581.330306506123	435.931799652423	1446.39132984305	1067.9632806194	615.669998312629	1102.88180930632	1965.79122709859	715.774200686987	1044.88391386688	961.031391314238	677.468882807941	757.641782966345	646.687423278995	857.012624377324	1497.36555285835	982.650628029756	1600.75327572339	972.489088350838	852.122947158937	202.812726129378	2037.1624803841	198.656628188985	1954.39658343023	1146.09763903895
127	M419T0	1.04893486926965	0.0689251005092315	0.351212807794318	0.728397107737273	0.92161660940604	UP	418.892747567068	418.890811803736	418.894870669218	0.406533331333333	0.39851668	0.408700009333333	19	9	10	499.28759765625	725.15482424442	295.468215698306	760.640180769074	235.830714550769	409.784516339885	159.982492485319	566.752586681824	397.031123859429	1204.43122237364	531.921095759974	973.751296124074	796.878983957745	584.391327394179	953.605640525792	712.832817505776	841.129333228777	1038.12332447071	981.551778714753	911.096348625387	899.428268570635	747.348947987397	884.669564460033	1058.77528339763	691.995149820222	1082.22846324181	476.877233037027	740.611252723521	435.108717121395	814.559713821546	289.402066196999	647.029182184902	969.832339578533
128	M405T1	1.07494227960316	-0.104259194544079	-0.350233583757332	0.728989848760789	0.921675350972488	DOWN	405.026730267909	405.025062060013	405.028097871443	0.668999975666667	0.633883357	0.706516668	21	11	10	775.14990234375	1196.42791853551	616.744148273871	1113.0159648918	643.207128637841	194.853357839949	2456.27953067756	710.825246553756	1223.4805420098	1032.92783447421	769.419988218553	1543.58314336717	573.033323527417	1661.39113500128	1625.36376518194	1870.06929710468	528.172773198095	1073.98690245005	1486.60401989269	760.671462171567	456.511956445424	389.311315139426	1061.62054360772	1095.60742338341	2060.89212752563	2177.92750343961	1077.04612860656	1439.77863842302	281.789765511815	1783.26317502151	298.767391056591	1002.49195366334	1696.54412448961
129	M403T0	1.032066868491	0.045536447229267	0.349843094468787	0.729274726822031	0.9217035515213	UP	402.914654272137	402.913225829639	402.916026175727	0.405000009666667	0.386750012333333	0.412033320333333	27	14	13	613.72216796875	1094.35214880584	266.556501330595	1129.44459524444	264.224247830199	1338.67842070731	667.381224525298	1005.04150136513	1098.42285435617	1470.86048913529	871.033469289642	1285.04340516989	1297.35559541743	797.663212554914	1422.04603345336	988.109146262679	676.313481028756	1195.3182867483	1207.66296326755	1455.96201356967	1425.10821931998	1172.99221587117	1379.13235289176	1106.59956004941	1036.83009009287	1247.95716142606	1260.50249665317	1055.10972260863	637.762680681169	1309.85850047751	618.840936779339	1221.15949474021	884.408888261228
130	M212T3	1.09064923295178	-0.125187186676759	-0.350978774863019	0.729328549043806	0.921708877191156	DOWN	212.000946891148	212.00008197815	212.002043589668	2.66704990166667	2.65426658333333	2.7049501	28	14	14	33676.03125	66518.7045855227	52138.997876284	60990.0072138623	27484.2159145506	187500.309253801	28567.0612989565	21301.2035459665	96005.9895765895	75786.2349623814	16026.3822874726	22898.965882912	38054.6459073744	13303.2920954225	92233.3319234307	64912.8010146211	147307.547709638	85617.1871541827	41746.9115845685	63981.4557676794	32836.1049811184	42109.8322710241	41315.7873415955	49197.6460312441	63078.1891344491	57868.5933228516	115902.856535921	73532.9779387452	34966.6755928799	86136.7639497938	39233.8012926302	113339.187444036	40360.2293901044
131	M233T2_2	1.15397742005668	0.206614994961763	0.347392853479011	0.731223219694541	0.921895892929276	UP	233.010377861775	233.009294514791	233.011478871126	1.59719997333333	1.58903337333333	1.61980004333333	13	7	6	3687.220703125	2086.94566911331	2165.98558114281	2408.28817904183	2699.54878945925	3671.68526662876	237.032096346482	410.494915285904	2673.69504813629	7979.26139871828	312.980094277092	4025.53405230145	1354.33567213696	575.193939931793	466.557558115921	589.226702373221	3441.83443533308	1235.32162668391	2244.0865613172	3501.81468353066	7446.81087783829	1125.91642540101	8043.86364217863	729.602751705988	1292.33957261848	1852.25021447264	878.551100607918	941.32855905786	620.558754829164	190.88155576319	1066.41831431232	5773.51806018469	252.179994084751
